mbirmi,tëggin,xeet,nettalin_fr,nettalin_wo
asaka,[ʌsʌkʌ],nom,dîme annuelle que le musulman est tenu de prélever sur ses revenus,Génnéel sa asaka.
asamaan,[ʌsʌma:n],nom,le ciel : sens matériel et spiritual,Asamaan si lëndëm na.
aset,[ʌset],nom,"assiette, cuvette",Abal ma sa aset bi.
aseer,[ʌse:r],nom,samedi,
askan,[ʌskʌn],nom,"lignée paternelle, origine, souche","Man, askanu Caaméen laa bokk."
astafurlaa,[ʌstʌfurla:],,formule qui signifie : que Dieu me pardonne,"Maa ngi ñow altiné… astafurlaa, talaata."
at,[ʌt],nom,"année, âge","At a ngi, maa ngi tëdd."
aw,[ʌw],verbe,saisir au vol,"Awal kuppé bi, bu mu laal suuf."
ax,[ʌx],interjection,"interjection qui exprime la douleur, la pitié ou la compassion",Ax ! gaañ nga ko.
ay,[ʌj],nom,tour de rôle,Négal sa ay.
ay,[ʌj],nom,"conflit, querelle, dispute",Ay wa fey na.
ayca,[ʌjcʌ],interjection,incitation à commencer : alors ! allons-y ! en avant !,Ayca ci liggéey bi.
ayubés,[ʌjubes],nom,semaine,Ayubés giy ñow laay dem.
aywa,[ʌjwʌ],interjection,,
àbb,[ab:],verbe,emprunter (un objet qui sera lui-même rendu et non un bien dont on rendrait seulement l’équivalent),Àbb naa paaka.
àddina,[ad:inʌ],nom,"le monde, la vie ici-bas",Àddina yaatuwul.
àddu,[ad:u],verbe transitif,"répondre, répliquer",Maa ngi wax ag moom àdduwu ma.
àdduna,[ad:unʌ],nom,,
àgg,[ag:],verbe intransitif,arriver à destination,Saxaar àgg na Ndakaaru.
àjjana,[aɉ:ʌnʌ],nom,le paradis,Yala na ko Yàlla xaare àjjana.
àjjuma,[aɉ:umʌ],nom,vendredi,Àjjuma ju nekk sëriñ bi wàcce kaamil bi.
àkk,[ak:],verbe transitif,aller au devant de quelqu’un pour lui chercher querelle,Dafa ma àkk ma duma ko.
àkk,[ak:],verbe intransitif,s’arrêter net,Fas wi dafa dow ba yàgg mu àkk.
àkk,[ak:],nom,"écorce sèche, copeau, croûte",Akku xay la.
àll,[al:],nom,"grande étendue de terre non habitée, brousse, le lointain par opposition au chez soi",All bi kenn moomu ko.
àllarba,[al:ʌrbʌ],nom,mercredi,Ngéntéem àllarba la.
àllaaxira,[al:a:xirʌ],nom,l’au-delà,Kenn xamul lu xew àllaaxira.
àlluwa,[al:uwʌ],nom,tablette de bois sur laquelle on écrit le Coran,Sama àlluwa fees na.
ànd,[and],verbe intransitif,"être ensemble, aller ensemble",Noo àndoon Màkka.
ànd,[and],nom,"le fait d’aller ensemble, camaraderie",Ànd bu rafet.
àndandoo,[andʌndɔ:],verbe intransitif,"aller ensemble, s’accompagner",Kaay nu àndandoo ba kër Musaa.
àndandoo,[andʌndɔ],nom,"compagnon, camarade, copain","Ragaluma ci yoon wi, am naab àndandoo."
àpp,[ap:],nom,"limite, échéance",Àpp ba jot na.
àppal,[ap:ʌl],verbe transitif,"limiter, donner un délai",Àppal naa la juróomi fan.
àppaat,[ap:a:t],verbe intransitif,"respirer difficilement, s’essouffler",Mu ngiy àppaat.
àq,[aq],nom,"faute, péché, tort",Baal ma àq.
àttan,[at:ʌn],verbe transitif,être capable de porter,Àttan nga paan bi ?
àttaaya,[at:a:jʌ],nom,thé en infusion,Xiimal àttaaya ji.
àtte,[at:e],verbe transitif,"juger, séparer des personnes en conflit, arbitrer",Dafay àtte xale yi.
àtte,[at:e],nom,"jugement, loi, destin",Àtte bu jub la.
aada,[a:dʌ],nom,"coutume, habitude",Loolu ci aada la aju.
aajo,[a:ɉɔ],nom,"besoin, préoccupation",Am naa aajo ci yow.
aalim,[a:lim],nom,érudit,Loolu demal laaj ko aalim ji.
aar,[a:r],verbe transitif,protéger,Moo ko aar ba mu noppi li mu doon def.
aawo,[a:wɔ],nom,première épouse d’un mari polygame,Aawo moo di buuru kër.
aay,[a:j],verbe,"être méchant, peu généreux, dur, pingre",Ndaw su aay a ngi nii.
aaya,[a:jʌ],nom,verset de Coran,Aaya ju gàtt la doon tari.
aaye,[a:je],verbe transitif,"interdire, prohiber",Aaye nañu ku fi dugg.
aayoo,[a:jɔ:],verbe transitif,bercer un enfant,Faatoo ngi aayoo doomam.
ba,[bʌ],verbe transitif,"laisser, abandonner, renoncer",Ba naa fa samay dàll.
ba,[bʌ],conjonction,"jusqu’à, jusqu’à ce que",Xaaral ba déwén.
bagaan,[bʌga:n],nom,"grand récipient en bois utilisé pour mettre les mets, grande calebasse",Togg na ñaari bagaani laax.
bagaas,[bʌga:s],nom,"bagages, objets usuels","Fatal bagaas yi, guddi na."
bakkan,[bʌk:ʌn],nom,nez,Bakkanam dafa tàppandaar.
bal,[bʌl],nom,"balle, ballon, cartouche",Bal bi xottiku na.
bala,[bʌlʌ],conjonction,avant que,Sottalal sa liggéey bala ngay dem.
bale,[bʌle],verbe transitif,balayer,Ndax bale nga néeg bi ?
bale,[bʌle],nom,balai,Jox ma bale gi.
balekat,[bʌlekʌt],nom,balayeur,Balekatu mbedd mi jaar na fi.
ball,[bʌl:],verbe intransitif,jaillir,Dama tëb bi ndox mi dee ball.
ban,[bʌn],nom,"argile, banco",Néegu ban dëgërul.
bank,[bʌŋk],verbe transitif,plier,Bank na tànkam.
bant,[bʌnt],nom,"morceau de bois, planche, poutre ou poutrelle",Sampal bant bi fii.
bañ,[bʌɲ],verbe intransitif,"refuser, résister","Ñaan naa ko xaalis, bañ na."
bañ,[bʌɲ],verbe transitif,détester,Dafa ma bañ.
bar,[bʌr],verbe intransitif,"être rapide, avoir une élocution rapide",Kenn xamul li mu wax ndax dafa bar.
bar,[bʌr],nom,"grande outre en peau de vache, ou en toile, utilisée pour puiser l’eau",Teenu Daaru Musti bar lañu koy wëgge.
baram,[bʌrʌm],verbe transitif,"tourner en spirale, entortiller",Baram nga wëñ gi gépp.
baramu,[bʌrʌmu],verbe,"être en spirale, être entortillé",Kawaram dafa baramu.
baraag,[bʌra:g],nom,baraque,Baraag ba daanu na.
bare,[bʌre],verbe,"être nombreux, abondant",Nit ñu baree ngi ci kër gi.
bari,[bʌri],verbe,,
barigó,[bʌrigɔ],nom,"fût, barrique",Jënd na barigó dëwlin.
barke,[bʌrke],nom,"bénédiction, aisance, considération, prestige, profit",Alal ju lewul du am barke.
barkeel,[bʌrke:l],verbe intransitif,bénéficier d’une bénédiction,Doomam barkeel na.
basa,[bʌsʌŋ],nom,natte,Lalal basaŋ gi.
basi,[bʌsi],nom,"gros mil, sorgho (Sorghum sp)",Basi góor a koy bey.
bataaxal,[bʌta:xʌl],nom,"lettre (missive), communication écrite",Sërin bi yónnee na bataaxal.
bawol,[bʌwɔl],nom,province sénégalaise située à l’ouest et limitrophe du Cayor,Bawol teeñ a ko daan yilif.
bawoo,[bʌwɔ:],verbe intransitif,"venir, provenir de…",Foo bawoo ?
bax,[bʌx],verbe intransitif,"bouillir, être bouillant",Ndox maa ngi bax.
baxa,[bʌxʌ],verbe,"être de couleur bleu ciel, teindre en bleu ciel",Sërub baxa la woddoo.
baxal,[bʌxʌl],verbe transitif,faire bouillir,Baxal na tuuti ndox.
baxaw,[bʌxʌw],verbe transitif,sarcler le mil pour la première fois,Ñu ngiy baxaw dugub.
baxaw,[bʌxʌw],nom,"premier sarclage du champ de mil, mauvaise herbe à sarcler",Sa baxaw bi bari na ren.
bayaal,[bʌja:l],nom,"grand espace vide, place publique",Daje nanu ci bayaal bi.
bàcc,[bac:],verbe,"battre les branches pour faire tomber les fruits, les arachides pour les séparer de la paille, le riz pour séparer le grain du son",Bàcc na gerteem.
bàcc,[bac:],nom,eau de rinçage,Tuur na bàcc bi.
bàjjan,[baɉ:ʌn],nom,"tante paternelle, marraine",Sa bàjjan jóge na Ndar ?
bàjjen,[baɉen],nom,,
bàkk,[bak:],verbe transitif,chanter les louanges en rythme,Bàkk naa ko mu may ma xaalis bu bare.
bàkk,[bak:],nom,"chant ou rythme de parade, louange, hymne",Na ngeen jóg bu ngéen déggée bàkku Senegaal.
bàmmeel,[bam:e:l],nom,tombe,Gas na bàmmeel bi ci wetu garab gi.
bànneex,[ban:e:x],nom,"plaisir, satisfaction, bonheur",Am naa bànneex ci li nga ma wax.
bànk,[baŋk],verbe,être à court d’argent,"Dama bànk, weer wi sori na."
bànk,[baŋk],nom,manque d’argent,Sama bànk gi yàgg na.
bànqaas,[baŋqa:s],nom,"branche d’arbre, organe, section",Car yi jàpp ci bànqaas bu mag bi dëgër nañu.
bàttu,[bat:u],nom,petite calebasse,Bàttu dugub la ma jox.
bàyyi,[baj:i],verbe transitif,"laisser, abandonner, rompre avec, cesser de",Bàyyi na naan.
bàyyima,[baj:imʌ],nom,animal domestique ou apprivoisé,Bul dóor mukk bàyyima.
baadoolo,[ba:dɔ:lɔ],nom,homme de condition libre qui ne participait pas au pouvoir. Personne de condition modeste,Baadoolo dafay yemale bëgg-bëggam.
baag,[ba:g],nom,seau à puiser,Baag bi dafa diis.
baagante,[ba:gʌnte],verbe intransitif,"aller et venir, faire la navette",Maa ngi baagante diggante Ndakaaru ak Tëngéej.
baal,[ba:l],verbe transitif,"pardonner, excuser","Tooñ na ma, baal naa ko."
baal,[ba:l],verbe intransitif,danser,Janq bi mën na baal.
baal,[ba:l],nom,"danse, (d’origine étrangère) surprise-partie",Damay dem baal.
baana-baana,[ba:nʌba:nʌ],nom,"marchand détaillant, généralement ambulant",Baana-baana mënul toog.
baaral,[ba:rʌl],verbe transitif,faire mijoter,Baaral na cin li.
baaral,[ba:rʌl],verbe intransitif,chantonner,Beykat baa ngiy baaral.
baaraam,[ba:ra:m],nom,doigt,Mu ngi takk jaaro ci baaraamam.
baaru,[ba:ru],verbe intransitif,baisser la voix progressivement en chantant,"Déglul, Amee ngiy baaru."
baase,[ba:se],nom,"ragoût à la pâte d’arachide servi avec du couscous, nom de ce plat",Sopp naa baase lool.
baasi,[ba:si],nom,,
baat,[ba:t],nom,cou,Takkal buum ci baatu xar mi.
baax,[ba:x],verbe,être bon,Nit ku baax la.
baax,[ba:x],nom,"coutume, habitude",Loolu sama baaxu maam la.
baay,[ba:j],nom,père,Baayam dee na.
baayo,[ba:jɔ],nom,orphelin de mère,Baayo mat na yërëm.
baayo,[ba:jɔ],verbe,prendre moralement quelqu’un pour père,Yow laa baayoo ci dëkk bi.
be,[be],conjonction,,
bekk,[bek:],nom,tablette,Bekku suukër la.
bekkoor,[bek:ɔ:r],nom,sécheresse,Bekkoor bi yàgg na ci réew mi.
benn,[ben:],numéral,un,Benn xaleel a ngi nii.
beñe,[beɲe],nom,beignet,Demal jëndal ma fukki dërëmi beñe.
ber,[ber],verbe,"isoler, mettre de côté, séparer",Ber naa kayit yu xonq yi.
berndeel,[bernde:l],verbe,organiser un banquet ou des réjouissances en l’honneur d’un hôte,"Ñaari nag lañ rey, berndeel ko."
beteex,[bete:x],nom,plomb,Beteex dafa diis.
bett,[bet:],verbe transitif,surprendre,Bett nga ma lool.
bew,[bew],verbe intransitif,avoir une attitude de parvenu,Bare na alal wànte taxu ko bew.
bey,[bej],verbe transitif et intransitif,cultiver,Bey na ñaari tooli dugub.
beykat,[bejkʌt],nom,cultivateur,Beykat yi ruuj nañu ba-noppi.
bees,[be:s],verbe,être neuf,Dàll yu bees la sol.
bees,[be:s],verbe transitif,vanner,Jigéen ñaa ngiy bees ceeb bi.
beew,[be:w],verbe intransitif,,
bég,[beg],verbe,"être gai, satisfait","Teral nañu ko bubaax, bég na."
béjjén,[beɉ:en],nom,corne,Béjjénu xar mi damm na.
béréb,[bereb],nom,endroit,Béréb bu set a ngi nii.
bés,[bes],nom,jour,Bés bii dootuma ko fàtte mukk.
béy,[bej],nom,chèvre,Boo amul xar mën nga rey bëy.
bëccëg,[bəc:əg],nom,journée,Dinaa ko gis bu ñówee ci bëccëg.
bëgg,[bəg:],verbe transitif,"aimer, vouloir, avoir envie",Bëgg na màngo.
bëgg-bëgg,[bəg:bəg:],nom,"volonté, vouloir, désir",Dafa bare bëgg-bëgg lool.
bëggé,[bəg:e],verbe,"être cupide, avare, ladre",Baay Moor dafa bëggé.
bëkk-démb,[bək:demb],adverbe,avant-hier,Bëkk-démb jàng nanu.
bëkk-néeg,[bək:ne:g],nom,homme de confiance de l’autorité régnante ou religieuse,Bëkk-néeg dafay jàpp lammiñam.
bëmëx,[bəməx],verbe transitif,"pousser vivement, bousculer",Dafa ma bëmëx ma daanu.
bën-bën,[bənbən],nom,"trou, orifice",Bën-bën bi yaatu na.
bënn,[bən:],verbe,"percer, être foré",Bënn nañu noppi liir bi.
bëñ,[bəɲ],nom,dent,Wekki na bëñam.
bër,[bər],verbe intransitif,être en congé scolaire,Xale yi bër nañu démb.
bëré,[bəre],verbe intransitif,lutter,Dañu doon bëré fii.
bëré,[bəre],nom,lutte,Bëré po la.
bërét /né/,[bəret],coverbe,se lever brusquement,"Dafa né bërét, daanu."
bërëŋ,[bərəŋ],verbe transitif,rouler,Bërën nga ko ci suuf si ba tilimal ko.
bërgël,[bərgəl],verbe transitif,"abandonner quelqu’un, ne plus s’occuper de lui","Jéem naa ko jubbanti ba tàyyi, bërgël naa ko."
bërki-démb,[bərkidemb],adverbe,,
bët,[bət],nom,œil,Bëtu càmmoñ bi dafay metti.
bëtt,[bət:],verbe transitif,percer,Bëtt na koko bi.
bëy,[bəj],nom,panaris,Dama ànd ag bëy ci loxo.
bëy,[bəj],nom,,
bi,[bi],conjonction,"quand, lorsque",Bi xale bi ñówee la dem.
biddaa,[bid:a:],nom,superstition,Sànni bant néew biddaa la.
biddéew,[bid:e:w],nom,étoile,"Biddéew fàq na, kilifa moo dee béréb."
biddënti,[bid:ənti],verbe intransitif,se réveiller tard le matin,Asan dafa biddënti moo tax mu fekk saxaar dem.
biddiiw,[bid:i:w],nom,,
bif,[bif],verbe transitif,tirer violemment,Bif na sama xaftaan mu xotteeku.
bijjanti,[bij:ʌnti],verbe transitif,raccompagner,Bijjanti naa sama gan ga ñów.
bijjaaw,[biɉ:a:w],verbe intransitif,avoir des cheveux blancs,Mag mu bijjaaw la.
bijjaaw,[biɉ:a:w],nom,cheveux blancs,Sa bijjaaw bi rafet na.
billaay,[bil:a:j],interjection,par Dieu,Billaay yaa ma ko wax.
bind,[bind],verbe transitif,créer,Yàlla moo nu bind nun ñépp.
bind,[bind],nom,"forme, aspect au sens physique ou moral",Bind bu rafet la am.
bipp,[bip:],verbe transitif,,
bippu,[bip:u],verbe intransitif,résister,"Dama la bif, nga bippu."
bir,[bir],verbe intransitif,être certain (ne s’emploie qu’à la 3e pers.),Bir na ni doo naan garab gi.
biral,[birʌl],verbe transitif,"certifier, éclairer",Biral naa la ni tey la sa baay di ñów.
bisaab,[bisa:b],nom,oseille de Guinée (Hibiscus sabdariffa),Bisaab dina safal ñeex.
biti,[biti],nom,extérieur,Biti bi sedd na.
bitig,[bitig],nom,boutique,Ci bitig bi la dugg.
biig,[bi:g],adverbe,la nuit dernière,Biig nelawuma.
biij,[bi:ɉ],verbe transitif,remuer pour faciliter l’extraction,Biij na bant bi ndax mu yomb buddi.
biiñ,[bi:ɲ],verbe intransitif,faire la moue,Kenn du biiñ sa ndey.
biiñ,[bi:ɲ],nom,vin,Dafay naan biiñ.
biir,[bi:r],nom,"ventre, intérieur",Sama biir dafay metti.
biir,[bi:r],verbe,être en état de grossesse,Sama jabar dafa biir.
bocci,[bɔc:i],verbe transitif,dégainer,Bocci na jaasi dóor ko.
bojj,[bɔɉ:],verbe transitif,piler les épis pour en détacher les grains,Jigéen ñaa ngiy bojj dugub.
bokk,[bɔk:],verbe transitif,"posséder en commun, partager",Noo bokk baay.
bol,[bɔl],nom,"farine de mil, farine en général","Jëndal ma bol, ma ruy."
bon,[bɔn],conjonction,donc,"Nee nga tey ngay dem, bon jox ma sama xaalis."
bon,[bɔn],verbe,être mauvais,Xale bu bon a ngi.
bopp,[bɔp:],nom,"tête, guide, chef, meneur",Wat na boppam ba mu set.
boq,[bɔq],verbe transitif,mettre sous l’aisselle,Sama maam a ngi boq yetam.
bor,[bɔr],nom,dette,Ameel naa sunu mbootaay gi boru jiwu.
bori,[bɔri],verbe intransitif,saigner du nez,Danaa farala bori bu tàngaay bi ñówee.
boroom,[bɔrɔ:m],nom,"propriétaire, maître, le Seigneur",Boroom kër gi ñów na.
botti,[bɔt:i],verbe,enlever du dos,Yaa ngi botti saaku bi.
boy,[bɔj],verbe,être allumé,Taal bi boy na.
boyal,[bɔjʌl],verbe transitif,allumer,Maa ngi boyal taal bi.
booba,[bɔ:bʌ],adverbe,"À ce moment-là, en ce temps-là",Booba awmawoon jot.
boog,[bɔ:g],conjonction,"donc, dans ces conditions","Boroom kër gi nekku fi, na nu ñibbi boog."
bool,[bɔ:l],verbe transitif,égrener un épi de mil grillé,Bool wenn gub yomb na.
bool,[bɔ:l],nom,"bol, cuvette",Jox ma bool bu mag bi.
boole,[bɔ:le],verbe transitif,"mettre ensemble, mélanger",Loo def boole ma ci.
boon,[bɔ:n],conjonction,,
boor,[bɔ:r],nom,"bord, abords, environs, côté",Teg ko ci boor bi.
boot,[bɔ:t],verbe transitif,porter sur le dos,Awa boot na doomam.
booy,[bɔ:j],verbe intransitif,"avoir un érythème, rougeur de la peau",Sama tànk dafa booy ndax dàll yu xat.
booy,[bɔ:j],verbe,être en friche,Toolu baay Saaliwu booy na ren.
bóli,[boli],nom,gorge,"Bóli gu dog, doktoor manu ca dara."
bóoli,[bo:li],nom,grande cuvette,Ñaari bóoliy boŋ-boŋ la ko indil.
bóoy,[bo:j],nom,"boy, domestique",Amaguma bóoy batey.
bu,[bu],conjonction,"quand, lorsque",Bu ñówee nga woo ma.
bucci,[buc:i],verbe transitif,,
bukki,[buk:i],nom,hyène,Bukki kenn du ko dénk i seel.
buló,[bulo],nom,bleu de lessive,Demal jëndali ma buló.
bunt,[bunt],nom,"porte, voie d’accès, ouverture, issue",Buntu néeg bi la.
butéel,[bute:l],nom,bouteille,Butéel bi toj na.
butti,[but:i],verbe transitif,"éventrer, étriper",Suqi na ginaar gi ba-noppi mu ngi koy butti.
buy,[buj],nom,pain de singe,Buy baax na ci biir.
buub,[bu:b],verbe transitif,balayer et enlever les ordures,Xale bi buub na mbalit mi.
buum,[bu:m],nom,corde,Buum gi dog na.
buur,[bu:r],verbe,"être complet, avoir toutes les places occupées",Gemmiñam buur na.
buur,[bu:r],nom,"roi, reine",Buur la.
buux,[bu:x],verbe transitif,bousculer,Bu ma buux ci tàngaay bi.
cabb,[cʌb:],nom,"grappe, bouquet",Jox naa ko ñaari cabbu reseñ.
cafko,[cʌfkɔ],nom,"saveur, goût",Cafko limoŋ la ame.
caga,[cʌgʌ],nom,"jeune femme non mariée, prostituée","Dafa fase, léegi caga la."
cal,[cʌl],verbe intransitif,"galoper, se presser",Fas wi cal na ba xoox.
cam,[cʌm],interjection,de dégoût ou de mépris,Cam ! Yaa tilim !
cant,[cʌnt],nom,"remerciement, reconnaissance",Jëf ju rafet laaj na cant.
caŋ,[cʌŋ],verbe intransitif,"être enlisé, être bloqué dans une action",Oto bi caŋ na ci gannuus gi.
capp,[cʌp:],verbe transitif,enfoncer légèrement,Cappal xalima gi ci daa ji.
caq,[cʌq],nom,collier (bijou),Caqu per la takk.
car,[cʌr],nom,rameau,Dogal car bi.
carax,[cʌrʌx],nom pluriel,sandales,Samay carax dañoo dog.
cat,[cʌt],nom,"extrémité, bout",Catu yet wi dafa xar.
caw,[cʌw],verbe transitif,frapper avec une lanière,"Dafa saaga, ñu caw ko."
càcc,[cac:],nom,le vol (acquisition illicite),"Boo ko defee, ag càcc la."
càmmiñ,[cam:iɲ],nom,frère par rapport à la sœur,Sama cammiñ takk na jabar.
càmmooñ,[cam:ɔ:ɲ],nom,la gauche,Loxo càmmooñ lay bindé.
caabi,[ca:bi],nom,clé,Caabi ji xomaag na.
caaf,[ca:f],nom,arachide grillée,Caaf balaa neex tàng.
caar,[ca:r],nom,diarrhée bovine,"Atum caar ma, nag yu bare dee nañu."
caas,[ca:s],nom,tendon,"Yàpp wi amul suux, caas rekk la."
caax,[ca:x],nom,filet,Caax mu mag dafa naqadee xëcc.
caax,[ca:x],nom,sous-vêtement en filet,Sa caax bi tilim na.
caaxaan,[ca:xa:n],verbe intransitif,"plaisanter, blaguer","Liggéeyoo, dangay caaxaan."
caaxaan,[ca:xa:n],nom pluriel,"blague, amusement",Bàyyil sa caaxaan yi.
caaxoñ,[ca:xɔɲ],nom pluriel,branchies,Waasaal jën wi te dindi caaxoñ yi.
caaxoñ,[ca:xɔɲ],nom,cravate,Caaxoñ gu rafet la takk.
caaxoñu,[ca:xɔɲu],verbe intransitif,"être tiré à quatre épingles, porter une cravate","Yaa ngi caaxoñu, foo jëm ?"
caaya,[ca:jʌ],nom,"pantalon traditionnel, ample",Caaya ji dafa ko ëpp.
caay-caay,[ca:jca:j],nom,"farce, bêtises",Bàyyil sa caay-caay gi.
cell /né/,[cel:],coverbe,être tranquille,Mu ngi né cell ci ruqam.
cere,[cere],nom,couscous,Siim nañu cere ji.
ceeb,[ce:b],nom,riz,Ndaw si sebat na ceeb bi.
cér,[cər],nom,"part, partie",Seddële nañu xar mi ñeenti cér.
cér,[cer],nom pluriel,les membres du corps,"Ponkal la, ay céram mat nañu."
céy,[cej],interjection,"Marquant l’étonnement, le dépit",Céy ! maa waaru !
céyt,[cejt],nom,fêtes nuptiales,Céyt gi am na ñetti fan.
céeli,[ce:li],nom,milan,Céeli ba këf na cuuj ba.
cin,[cin],nom,"marmite, contenu de la marmite",Cin li bax na.
cof,[cɔf],verbe transitif,"prendre en petite quantité, tenir légèrement, becqueter",Coofal tuuti ci mango bi may ma.
col,[cɔl],nom,habillement,Colug mag dafa war topp ay sart.
colin,[cɔlin],nom,"manière de s’habiller, mode",Colinam rafet na.
como,[cɔmɔ],nom,"personne inexpérimentée, homme sans importance","Mënul dara, como la."
coñco,[cɔɲcɔ],nom,coude,Bu ci teg sa coñco.
coro,[cɔrɔ],nom,fiancée,"Takku ko, batey coroom la."
cosaan,[cɔsa:n],nom,"origine, passé, souche, coutume",Fuy sa cosaan ?
cox,[cɔx],nom,son (enveloppe du grain),"Gaasal cox bi, ganaar yi xiif nañu."
coy,[cɔj],nom,perroquet,Dafa bare wax na coy.
coyy,[cɔj:],coverbe,être très (rouge),Sa bët yaa ngi xonq coyy.
coobare,[cɔ:bʌre],nom,"bon plaisir, volonté, agrément",Bul topp sa coobare ba fàtte say wareef.
coof,[cɔ:f],nom,"fausse morue, thiof",Coof moo dàq ci ceebu jën.
coono,[cɔ:nɔ],nom,"fatigue, difficultés, ennuis",Mbey liggéey bu bare coono la.
cooroon,[cɔ:rɔ:n],nom,période pré-hivernale,"Bu cooroon jegee, beykat wara jog."
coow,[cɔ:w],nom,"paroles bruyantes, rumeur, réprimande, altercation",Sa coow bare na.
cóoli,[co:li],nom,,
cuub,[cu:b],verbe transitif,action de teindre,Cuub xeme ju baax la laaj.
cuub,[cu:b],nom,tissu teint,Sa cuub gi rafet na mbubb.
cuuj,[cu:ɉ],nom,poussin,Cuuj bi màgg na léegi.
cuuné,[cu:ne],nom,personne inexpérimentée,"Nax nañu ko, cuuné la."
cuuraay,[cu:ra:j],nom,encens,Cuuraay baax na ci sedd.
dab,[dʌb],verbe transitif,"rattraper, rejoindre",Boo noppee nga dab nu ci yoonu tool yi.
dag,[dʌg],nom,courtisan,Lu neex Buur neex dagam.
dagg,[dʌg:],verbe transitif,"couper, se couper",Daggal yàpp wi.
dagg-dagg,[dʌg:dʌg:],nom,blessure par coupure,Sa dagg-dagg bi metti na ?
daj,[dʌɉ],verbe transitif,trouver en tâtonnant,Gumba gi daj na yetam.
dajale,[dʌɉʌle],verbe transitif,"rassembler, réunir","Dajaleel sa yéré, yóobu ca póot ma."
dajaloo,[dʌɉʌlɔ:],verbe intransitif,se rassembler,Sama kër la nuy dajaloo doora dem.
daje,[dʌɉe],verbe intransitif,"réunir, se rencontrer",Daje nañu tey lekkool.
dajjant,[dʌɉ:ʌnt],verbe intransitif,"somnoler, sommeiller","Yaa ngi dajjant, jógal tëri."
dal,[dʌl],verbe transitif,"commencer, débuter",Dal na jàng alxuraan daaw.
dal,[dʌl],verbe intransitif,"se poser, tomber, atteindre",Tan mi dal na ci taax mi.
daloo,[dʌlo:],verbe,porter un effet pour la première fois,Daloo na xaftaan bi ñu ñaw démb rekk.
damu,[dʌmu],verbe intransitif,se vanter,"Maa raw, bu ma neexee damu."
damm,[dʌm:],verbe transitif,"casser, fracturer",Damm nga sama yet wi.
