mot_vedette,prononciation,catégorie_grammaticale,ex_wol,ex_fra
biij,,,,
biij,[bi:ɉ],verbe,,
biime,,,,
biin,,,,
biiñ,[bi:ɲ],nom,,
biiñ,[bi:ɲ],verbe,,
biinlu,,,,
biir,,,,
biir,[bi:r],nom,,
biir,[bi:r],verbe,,
biirak,,,,
biiram,,,,
biiri,,,,
biiru,,,,
biiy,,,,
bijjaahi,,,,
bijjaaw,[biɉ:a:w],nom,,
bijjaaw,[biɉ:a:w],verbe,,
bijjaayi,,,,
bijjanti,[bij:ʌnti],verbe,,
bika,,,,
bikitaabika,,,,
bil,,,,
bilaal,,,,
bilaay,,,,
bilarsiyoos,,,,
bilé,,,,
bill,,,,
billaahi,,,,
billaahu,,,,
billaal,,,,
billaay,,,,
billaay,[bil:a:j],interjection,,
billay,,,,
bim,,,,
bimu,,,,
bin,,,,
biñ,,,,
bind,,,,
bind,[bind],nom,,
bind,[bind],verbe,,
bindaat,,,,
bindal,,,,
bindante,,,,
bindantu,,,,
binde,,,,
bindee,,,,
bindéef,,,,
bindeet,,,,
bindin,,,,
bindkat,,,,
bindkati,,,,
bindkatu,,,,
bindoo,,,,
bindoon,,,,
bindu,,,,
bindukkayam,,,,
bineta,,,,
binga,,,,
binkat,,,,
binta,,,,
biŋ,,,,
bipp,[bip:],verbe,,
bippu,[bip:u],verbe,,
bir,,,,
bir,[bir],verbe,,
biraa,,,,
biraama,,,,
biràbbil,,,,
birabbin,,,,
biral,,,,
biral,[birʌl],verbe,,
biram,,,,
birdi,,,,
biro,,,,
biró,,,,
birob,,,,
birook,,,,
biroom,,,,
bis,,,,
bisaab,,,,
bisaab,[bisa:b],nom,,
bisam,,,,
bise,,,,
bisimilaay,,,,
bisimilah,,,,
bismi,,,,
bismil,,,,
bissab,,,,
bisu,,,,
biteey,,,,
biti,,,,
biti,[biti],nom,,
bitig,,,,
bitig,[bitig],nom,,
bitige,,,,
bitigi,,,,
bitim,,,,
bitti,,,,
bittim,,,,
biy,,,,
biyen,,,,
bjjan,,,,
bjjanam,,,,
bjjo,,,,
bkk,,,,
bkoor,kɔ:r,nom,,
blesser,,,,
bo,,,,
bob,,,,
boba,,,,
bocci,[bɔc:i],verbe,,
body,,,,
boire,,,,
bojj,,,,
bojj,[bɔɉ:],verbe,,
bokar,,,,
bokk,bɔk:ʰ,nom,,
bokk,[bɔk:],verbe,,
bokkaale,,,,
bokkal,,,,
bokkam,,,,
bokke,,,,
bokki,,,,
bokkoo,,,,
bol,,,,
bol,[bɔl],nom,,
boli,,,,
bóli,,,,
bóli,[boli],nom,,
bolle,,,,
bomb,bɔmbᵊ,,,
bombe,,,,
bon,,,,
bon,[bɔn],conjonction,,
bon,[bɔn],verbe,,
bonne,,,,
boŋ,,,,
boo,,,,
bóo,,,,
boob,,,,
booba,,,,
booba,[bɔ:bʌ],adverbe,,
boobaa,,,,
boobi,,,,
booboo,,,,
boobu,,,,
boog,,,,
boog,[bɔ:g],conjonction,,
book,,,,
booka,,,,
booki,,,,
bool,,,,
bool,[bɔ:l],nom,,
bool,[bɔ:l],verbe,,
boole,,,,
boole,[bɔ:le],verbe,,
boolee,,,,
boolew,,,,
boolewaale,,,,
booley,,,,
bóoli,[bo:li],nom,,
booloo,,,,
bóom,,,,
boon,[bɔ:n],conjonction,,
boor,,,,
boor,[bɔ:r],nom,,
bóor,,,,
booral,,,,
boos,,,,
boot,,,,
boot,[bɔ:t],verbe,,
bootaay,,,,
bootal,,,,
bootante,,,,
bóoti,,,,
bootu,,,,
booy,,,,
booy,[bɔ:j],verbe,,
bóoy,,,,
bóoy,[bo:j],nom,,
bop,,,,
bopp,,,,
bopp,[bɔp:],nom,,
bópp,,,,
boppla,,,,
boppu,,,,
boq,,,,
boq,[bɔq],verbe,,
boqal,,,,
boqol,,,,
bor,,,,
bor,[bɔr],nom,,
boram,,,,
bori,,,,
bori,[bɔri],verbe,,
borom,,,,
boroom,,,,
boroom,[bɔrɔ:m],nom,,
boroosu,,,,
boroseti,,,,
borrom,,,,
bos,,,,
bosni,,,,
botti,[bɔt:i],verbe,,
boy,,,,
boy,[bɔj],verbe,,
boyal,,,,
boyal,[bɔjʌl],verbe,,
boyat,,,,
boye,,,,
boyee,,,,
bpp,,,,
bs,,,,
bt,,,,
bu,,,,
bu,[bu],conjonction,,
bub,,,,
bubakar,,,,
bucci,[buc:i],verbe,,
budu,,,,
bufa,,,,
bufta,,,,
bug,,,,
bugg,,,,
buggu,,,,
buit,,,,
bu jëkk,,,,
bukaari,,,,
bukar,,,,
bukkee,,,,
bukkeey,,,,
bukket,,,,
bukki,,,,
bukki,[buk:i],nom,,
bul,,,,
bulli,,,,
bulo,,,,
buló,[bulo],nom,,
buma,,,,
bumfa,,,,
bummi,,,,
bumu,,,,
bun,,,,
buñ,,,,
bundu,,,,
bunduxatal,,,,
buni,,,,
buñoo,,,,
bunt,,,,
bunt,[bunt],nom,,
bunta,,,,
bunti,,,,
buntu,,,,
bunu,,,,
buñu,,,,
bunxataal,,,,
buŋ,,,,
buqat,,,,
buqi,,,,
buraama,,,,
buraas,,,,
burdikeŋ,,,,
burs,,,,
burusook,,,,
buruyoŋam,,,,
butéel,[bute:l],nom,,
butig,,,,
butit,,,,
butt,,,,
butti,[but:i],verbe,,
butuñ,,,,
butur,,,,
bututi,,,,
buu,,,,
buub,,,,
buub,[bu:b],verbe,,
buuba,,,,
buubu,,,,
buum,,,,
buum,[bu:m],nom,,
buumi,,,,
buur,,,,
buur,[bu:r],nom,,
buur,[bu:r],verbe,,
buuru,,,,
buux,,,,
buux,[bu:x],verbe,,
buxeet,,,,
buy,,,,
buy,[buj],nom,,
buyo,,,,
by,,,,
byyi,,,,
ca,,,,
caa,,,,
caabi,,,,
caabi,[ca:bi],nom,,
caada,,,,
caadaam,,,,
caaday,,,,
caaf,[ca:f],nom,,
caagin,,,,
caakri,,,,
caala,,,,
caalit,,,,
caam,,,,
caar,[ca:r],nom,,
caas,,,,
caas,[ca:s],nom,,
caat,,,,
caatal,,,,
caax,,,,
caax,[ca:x],nom,,
caaxaan,,,,
caaxaan,[ca:xa:n],nom,,
caaxaan,[ca:xa:n],verbe,,
caaxoñ,[ca:xɔɲ],nom,,
caaxoñu,[ca:xɔɲu],verbe,,
caay,,,,
caaya,,,,
caaya,[ca:jʌ],nom,,
caay-caay,[ca:jca:j],nom,,
cab,,,,
cabb,[cʌb:],nom,,
cabdu,,,,
càcc,,,,
càcc,[cac:],nom,,
càddaay,,,,
cadi,,,,
cafit,,,,
cafka,,,,
cafko,[cʌfkɔ],nom,,
cag,,,,
caga,[cʌgʌ],nom,,
cagay,,,,
cai,,,,
cakk,,,,
cakktiiw,,,,
cal,[cʌl],verbe,,
cala,,,,
calâ,,,,
calayhi,,,,
calbet,,,,
calisóo,,,,
càllala,,,,
callmeer,,,,
callweer,cɐl:we:r,nom,,
cam,,,,
cam,[cʌm],interjection,,
cambal,,,,
càmmiñ,[cam:iɲ],nom,,
càmmoñ,,,,
càmmooñ,,,,
càmmooñ,[cam:ɔ:ɲ],nom,,
can,,,,
cangaay,,,,
càngaay,,,,
canhu,,,,
canhum,,,,
cànkute,,,,
cant,[cʌnt],nom,,
canug,,,,
caŋ,[cʌŋ],verbe,,
capp,[cʌp:],verbe,,
caq,[cʌq],nom,,
càqar,,,,
caqub,,,,
car,,,,
car,[cʌr],nom,,
carax,[cʌrʌx],nom,,
caraxi,,,,
cari,,,,
casâ,,,,
cat,,,,
cat,[cʌt],nom,,
cati,,,,
cattak,,,,
catu,,,,
caw,,,,
caw,[cʌw],verbe,,
cax,,,,
caxat,,,,
cay,,,,
cë,,,,
cëddéem,,,,
ceddo,,,,
cee,,,,
ceeb,,,,
ceeb,[ce:b],nom,,
céebak,,,,
ceebu,,,,
ceebub,,,,
céeli,,,,
céeli,[ce:li],nom,,
ceeni,,,,
ceep,,,,
ceer,,,,
cees,,,,
ceet,,,,
céet,,,,
ceetaan,,,,
cëfit,,,,
cekkaw,,,,
cell,,,,
cell /né/,[cel:],coverbe,,
cëmbër,,,,
cempu,,,,
cent,,,,
cepp,,,,
cëpp,,,,
cëppeeloo,,,,
cëppeelu,,,,
cer,,,,
cér,,,,
cér,[cər],nom,,
cër,,,,
cere,,,,
cere,[cere],nom,,
cereek,,,,
cereem,,,,
cerey,,,,
cerno,,,,
cës,,,,
cëslaay,,,,
cet,,,,
cey,,,,
céy,[cej],interjection,,
cëy,,,,
céyt,[cejt],nom,,
ci,,,,
cii,,,,
ciipatu,,,,
ciix,,,,
ci kanam,,,,
cim,,,,
cimbir,,,,
cin,,,,
cin,[cin],nom,,
cinda,,,,
ciqâb,,,,
cirib,,,,
cite,,,,
ciw,,,,
cix,,,,
ciy,,,,
co,,,,
cobj,,,,
cocc,,,,
coeur,,,,
cof,,,,
cof,[cɔf],verbe,,
cofeel,,,,
cofus,,,,
coggal,,,,
coin,,,,
cokkeer,,,,
cokkooru,,,,
col,,,,
col,[cɔl],nom,,
colam,,,,
cólee,,,,
coleet,,,,
colere,,,,
cóli,,,,
colin,[cɔlin],nom,,
colloor,,,,
colol,,,,
como,[cɔmɔ],nom,,
comp,,,,
conco,,,,
coñco,[cɔɲcɔ],nom,,
coobare,,,,
coobare,[cɔ:bʌre],nom,,
cooca,,,,
coof,[cɔ:f],nom,,
coofel,,,,
cóoli,[co:li],nom,,
coono,,,,
coono,[cɔ:nɔ],nom,,
cooroon,,,,
cooroon,[cɔ:rɔ:n],nom,,
cóos,,,,
coosaan,,,,
coosan,,,,
cootareem,,,,
coow,,,,
coow,[cɔ:w],nom,,
coppite,,,,
cor,,,,
corfatee,,,,
coro,,,,
coro,[cɔrɔ],nom,,
cosaan,,,,
cosaan,[cɔsa:n],nom,,
cosaanoo,,,,
coset,,,,
cox,[cɔx],nom,,
coxor,,,,
coy,,,,
coy,[cɔj],nom,,
coyy,[cɔj:],coverbe,,
cu,,,,
culamâ,,,,
culóor,,,,
cumbur,,,,
cundum,,,,
cunna,,,,
curki,,,,
cusu,,,,
cuub,[cu:b],nom,,
cuub,[cu:b],verbe,,
cuubu,,,,
cuuj,,,,
cuuj,[cu:ɉ],nom,,
cuukel,,,,
cuun,,,,
cuuné,[cu:ne],nom,,
cuuraay,,,,
cuuraay,[cu:ra:j],nom,,
da,,,,
daa,,,,
daa,[da:],nom,,
daaba,,,,
daadi,,,,
daagu,,,,
daagu,[da:gu],verbe,,
daaguwaale,,,,
daaj,,,,
daaj,[da:ɉ],verbe,,
daakaande,,,,
daal,,,,
daal,[da:l],conjonction,,
daaliina,,,,
daamar,,,,
daan,,,,
daan,[da:n],verbe,,
daanaka,,,,
daanaka,[da:nʌkʌ],adverbe,,
daane,,,,
daanee,,,,
daaneel,,,,
daanu,,,,
daanu,[da:nu],verbe,,
daar,,,,
daara,,,,
daara,[da:rʌ],nom,,
daas,,,,
daas,[da:s],verbe,,
daasiwo,,,,
daataa,,,,
daataan,,,,
daaw,,,,
daaw,[da:w],adverbe,,
daawu,,,,
daawur,,,,
daawwur,,,,
daay,,,,
daay,[da:j],nom,,
daayira,,,,
dab,,,,
dab,[dʌb],verbe,,
dabal,,,,
dabam,,,,
dabbaax,,,,
dàbbaax,,,,
dabdabaatal,,,,
dabgaa,,,,
daboor,,,,
dadi,,,,
daf,,,,
dafa,,,,
dag,,,,
dag,[dʌg],nom,,
dagan,,,,
dagana,,,,
dagg,,,,
dagg,[dʌg:],verbe,,
dàgga,,,,
dàggasante,,,,
dagg-dagg,[dʌg:dʌg:],nom,,
dagge,,,,
daj,,,,
daj,[dʌɉ],verbe,,
dajal,,,,
dajale,,,,
dajale,[dʌɉʌle],verbe,,
dajalloo,,,,
dajaloo,,,,
dajaloo,[dʌɉʌlɔ:],verbe,,
daje,,,,
daje,[dʌɉe],verbe,,
dajee,,,,
dajjant,,,,
dajjant,[dʌɉ:ʌnt],verbe,,
dàjji,[daɉ:i],verbe,,
daju,,,,
dakaar,,,,
dàkk,,,,
dàkkaande,[dak:a:nde],nom,,
dakkal,,,,
dakkas,,,,
dakkoor,,,,
dàkkoor,[dak:ɔ:r],verbe,,
dakoor,,,,
dal,,,,
dal,[dʌl],verbe,,
dalaati,,,,
dalal,,,,
daldi,,,,
dale,,,,
dalee,,,,
dali,,,,
dàll,,,,
dàll,[dal:],nom,,
dallal,,,,
dàllam,,,,
dàlli,,,,
dàllu,,,,
dalon,,,,
daloo,[dʌlo:],verbe,,
dalu,,,,
dam,,,,
dama,,,,
damaas,,,,
damm,,,,
damm,[dʌm:],verbe,,
damm-damm,[dʌm:dʌm:],nom,,
dammel,,,,
dammel,[dʌm:el],nom,,
dammel-teeñ,[dʌm:elte:ɲ],nom,,
dàmp,[damp],verbe,,
damu,,,,
damu,[dʌmu],verbe,,
dan,,,,
dañ,,,,
dana,,,,
dañal,,,,
dand,,,,
dànd,,,,
dàndante,,,,
dàndee,,,,
dandusi,,,,
dàngaŋ,,,,
dangnay,,,,
danguraan,,,,
dank,,,,
danki,,,,
dànn,,,,
danoo,,,,
danq,,,,
dànq,[daŋq],nom,,
dans,,,,
dañsi,,,,
danu,,,,
dañu,,,,
daŋ,,,,
daŋ,[dʌŋ],verbe,,
daŋañ,,,,
daŋar,[dʌŋʌr],nom,,
daŋee,,,,
daŋet,,,,
dàq,,,,
dàq,[daq],verbe,,
daqaar,,,,
daqaar,[dʌqa:r],nom,,
dàqal,,,,
dàqe,,,,
dàqi,,,,
dàqiwu,,,,
dàqloo,,,,
dàqoon,,,,
dàqul,,,,
dar,,,,
dar,[dʌr],verbe,,
dara,,,,
dara,[dʌrʌ],nom,,
daraa,,,,
daraak,,,,
daraam,,,,
daraapoo,,,,
daraapóo,,,,
daraapóowu,,,,
darab,,,,
darab,[dʌrʌb],nom,,
daraja,,,,
daraja,[dʌrʌjʌ],nom,,
darajaak,,,,
darajaal,,,,
darajaam,,,,
daral,[dʌrʌl],nom,,
darañ,,,,
darañuuf,,,,
daree,,,,
darkase,,,,
darkase,[dʌrkʌse],nom,,
darneel,,,,
darñeel,,,,
daru,,,,
dat,,,,
datu,,,,
dau,,,,
daw,,,,
daw,[dʌw],verbe,,
dawaar,,,,
dawaat,,,,
dawal,,,,
dawal,[dʌwʌl],nom,,
dawal,[dʌwʌl],verbe,,
dawalal,,,,
dawalkat,,,,
dawatuma,,,,
dawu,,,,
dax,,,,
dax,[dʌx],nom,,
day,,,,
day,[dʌj],nom,,
day,[dʌj],verbe,,
dayo,,,,
dayo,[dʌjɔ],nom,,
dayoo,,,,
dayoob,,,,
dayoom,,,,
dayote,,,,
de,,,,
de,[de],conjonction,,
dë,,,,
dëbb,,,,
dëbb,[dəb:],verbe,,
dëbbe,,,,
dëbbé,[dəb:e],verbe,,
dëbbekat,,,,
dëbbkat,,,,
dec,,,,
dëdd,[dəd:],verbe,,
dëddu,,,,
dëddu,[dəd:u],verbe,,
dee,,,,
dee,[de:],nom,,
dee,[de:],verbe,,
dée,,,,
deeb,,,,
déeb,,,,
deed,,,,
déed,,,,
deedeed,,,,
déedeet,,,,
déedéet,,,,
déedéet,[de:de:t],adverbe,,
déedet,,,,
déeg,,,,
déeg,[de:g],nom,,
déeg,[de:g],verbe,,
déego,,,,
déegu,,,,
dëëgu,,,,
deegul,,,,
déek,,,,
deel,,,,
dëël,,,,
deelu,,,,
deem,[de:m],nom,,
dëëmil,,,,
deen,,,,
dëer,,,,
dees,,,,
dëes,,,,
déesatu,,,,
déeseem,,,,
deesi,,,,
deesu,,,,
déesu,,,,
deet,,,,
déet,,,,
déet,[de:t],adverbe,,
deeti,,,,
deewaale,,,,
deewul,,,,
déey,[de:j],verbe,,
déeyoo,,,,
def,,,,
def,[def],verbe,,
defaat,,,,
defal,,,,
dëfal,,,,
defalee,,,,
defar,,,,
defar,[defʌr],verbe,,
defaraat,,,,
defare,,,,
defarloo,,,,
defaru,,,,
defaruwaat,,,,
defatu,,,,
defe,,,,
defe,[defe],verbe,,
defé,,,,
dëfeenu,,,,
dëféenu,[dəfe:nu],verbe,,
defeesatu,,,,
dëfël,[dəfəl],verbe,,
defeni,,,,
defenu,,,,
defi,,,,
defin,,,,
defloo,,,,
defóo,,,,
defóon,,,,
defukaay,,,,
deful,,,,
