ID,Mot_Vedette,Prononciation,Catégorie_Grammaticale,Classe_Nominale,Sens_ID,Définition,Traduction_Française,Catégorie_Grammaticale_Traduction_Française_Mot_Vedette,Phrase_Illustration,Traduction_Française_Phrase_Illustration
ameel1,ameel,ɐmɛ:l,waxe-jëfin,,ameel1_1,yore luñu wara delloo (amd),devoir quelque chose (amd),verbe,Ameel naa ko xaalis.,Je lui dois de l'argent.
an1,an,ɐn˺,waxe-jëfin,,an1_1,dajale jublu ci dindi/ dindi lu ñu dajalé ba pare,amasser pour enlever/ enlever après avoir rassemblé,verbe,Dinaa an mbalit mi.,J'enleverai les ordures.
añ1,añ,ɐɲ˺,waxe-jëfin,,añ1_1,lekk ci diggu bëcëg,déjeuner,verbe,Sama xarit bi dafay añ balaa ngontu  (amd),Mon ami déjeune avant de retourner au travail (amd)
añ1,añ,ɐɲ˺,turu bokkaale,b-,añ1_1,lekku diggu bëcëg,déjeuner,nom,Sama añ bi dafa naaje tey.,Mon déjeuner est tardif aujourd'hui.
añaan1,añaan,ɐɲa:n˺,waxe-jëfin,,añaan1_1,bañ kennen am lu baax (amd)/ melokaanu ku bañ keneen am lu baax,être capable de mauvaiseté/ être méchant,verbe,Na nga moytu sa xarit bi dafa añaan.,"Fais attention à ton ami, il est capable de mauvaiseté.  (amd)"
anam1,anam,ɐnam˺,turu bokkaale,y-,anam1_1,ni mbir tëdde/ yoon bi dara (jaar ba am) amee,circonstances,nom,Xamu ma ci yan anam ngeen xamantee.,Je ne connais pas les circonstances dans lesquelles vous vous êtes connus
and1,and,ɐndᵊ,turu bokkaale,b-,and1_1,jumtukaayu def xalu suuru,encensoir,nom,Sama and bi dafa toj.,Mon encensoir est cassé.
aniin1,aniin,ɐni:n,turu bokkaale,j-,aniin1_1,lu  baxa lu jigéen ñi di diw ci seen tuñ (amd),bleu à lèvres,nom,Sama aniin ji jéex na.,Je n'ai plus de bleu à lèvres
araam1,araam,ɐra:m˺,waxe-nekkin,,araam1_1,melokaanu jëf walla yëf ju  (diiné) tere (amd),être interdit,verbe,Rey nit dafa araam.,Tuer un être humain est interdit
araf1,araf,ɐrɐf,turu bokkaale,w-,araf1_1,mbindinu baati aw làkk / xàmmekay/ xeetu rëdd bu nuy janfandikoo ngir / ci bind,lettre (caractère),nom,Ci wolof am na ay araf yu ma mënul bind.,Il y a en wolof des lettres que je ne peux pas écrire.
araw1,araw,ɐrɐw,waxe-jëfin,,araw1_1,defar sunguf ba mën ko laax/ ba mu soppeliku xeetu donj,rouler la farine en petites boules d'un type particulier,verbe,Sama yaay tàkkusaan lay faral di araw.,C'est autour de cinq heures que ma mère a l'habitude de rouler la farine.
aw1,aw,,,,aw1_1,,relayer,,,
awu1,awu,,,,awu1_1,,saisir au vol,,,
baar1,baar,,,,baar1_1,,mijoter,,,
bag1,bag,bɐg',,,bag1_1,,bac,nom,,
bagaas1,bagaas,bɐga:s,turu bokkaale,y-,bagaas1_1,,Bagages,nom,bari nga ay bagaas,Tu as beaucoup de bagages.
bantu-suukar1,bantu-suukar,bantusu:kɐr,,,bantu-suukar1_1,,canne à sucre,nom,,
bar1,bar,bɐr,turu bokkaale,b-,bar1_1,,varan,nom,,
bari1,bari,,,,bari1_1,,,,,
bëñ1,bëñ,gəɲ',,,bëñ1_1,,dent,nom,,
bët1,bët,bət',,,bët1_1,,oeil,nom,,
bkoor1,bkoor,kɔ:r,turu bokkaale,g-,bkoor1_1,bàyyi lekk ak naan ngir jaamu yàlla,jeûne,nom,koor gi daa metti,Le jeûne est difficile.
bojj1,bojj,,,,bojj1_1,,piler (les épis pour en détacher les grains)/ pour décortiquer,,,
bokk1,bokk,bɔk:ʰ,turu bokkaale,m-,bokk1_1,nit koo séqal dara ci wallu ndey wala baay,personne apparentée,nom,sama bokk la moo tax ma war ko dimbale,C'est un parent c'est pour cela je dois l'aider.
bomb1,bomb,bɔmbᵊ,,,bomb1_1,,frotter,verbe,,
caaxaan1,caaxaan,,,y-,caaxaan1_1,baat wala jëf bu reelu  walla bu amul solo(amd),"plaisanterie, futilité",,,
caaxaan1,caaxaan,,waxe-jëfin,,caaxaan1_1,"wax, walla def  lu reelu walla lu amul solo(amd)",plaisanter,,,
callweer1,callweer,cɐl:we:r,turu bokkaale,,callweer1_1,xeetu ngelaw lu gaaw te tar,type de vent,nom,sama maam nee na calweer baxul,Mon grand-père dit que ce genre de vent est mauvais.
céeli1,céeli,ce:li,turu bokkaale,,céeli1_1,xeetu picc,milan,nom,céeli day lekk cuuc,Le milan mange le poussin.
doole1,doole,,,,doole1_1,,,,,
doomu_aadama1,doomu aadama,[dɔ:mua:dɐmɐ],turu bokkaale,b-,doomu_aadama1_1,nit ak fumu mana soxeekoo,être humain,nom,Na ñuy teral doomu aadama.,Nous devons honorer l'être humain.
eggale1,eggale,,,,eggale1_1,,terminer,,,
ëmbal1,ëmbal,ʔəmbɐl,waxe-jëfin,,ëmbal1_1,biirël jigéen,enceinter,verbe,Dafa ëmbal dëkkandoowam.,Il a enceinté sa voisine.
ëñ1,ëñ,ʔəɲ',waxe-jëfin,,ëñ1_1,lem mu jëm ci kaw ak ci biir,retrousser,verbe,Dafa ëñ loxo yéreem.,Il a retroussé les manches de son boubou.
ëndi1,ëndi,ʔəndi,waxe-jëfin,,ëndi1_1,yóbbul këf nit wala yóbbu nit ci bérëb,"amener, apporter",verbe,Dafa indi ay dàll may ko.,Elle a apporté des chaussures qu'elle lui a offert.
ëppu1,ëppu,ʔəp:u,waxe-jëfin,,ëppu1_1,jël dara di ko yëngël ngir mën féex,éventer,verbe,Mu ngi ëppu ak këyit.,Il s'évente avec une feuille de papier.
ëppukaay1,ëppukaay,ʔəp:uka:j,turu bokkaale,b-,ëppukaay1_1,lu ñuy uppoo,éventail,nom,Ëppukaay bu ngand la yor.,Il a un grand éventail.
ërtal1,ërtal,ʔərtɐl,waxe-jëfin,,ërtal1_1,topp nit di ko sonal,harceler,verbe,Dafa koy ërtal rek.,Il l'harcèle sans arrêt.
ërtël1,ërtël,ʔərtəl,waxe-jëfin,,ërtël1_1,topp nit di ko sonal,harceler,verbe,Dafa koy ërtal rek.,Il l'harcèle sans arrêt.
ëtt1,ëtt,ʔət:ʰ,turu bokkaale,b-,ëtt1_1,ci kër fi ñu tabaxul dara,cour,nom,Mu ngi took ci ëtt bi.,Il est assis dans la cour.
faagaagal1,faagaagal,fa:ga:gɐl,waxe-jëfin,,faagaagal1_1,"lorànge buy dalandoo ci nit ñu bari, li ci ëpp",anéantir,verbe,Xiif ba dafa faagaagal dëkk ba yëpp.,La famine a anéanti tout le pays.
faagaagal1,faagaagal,fa:ga:gɐl,waxe-jëfin,,faagaagal1_1,"lorànge buy dalandoo ci nit ñu bari, li ci ëpp",anéantir,verbe,Xiif ba dafa faagaagal dëkk ba yëpp.,La famine a anéanti tout le pays.
faale1,faale,fa:lɛ,waxe-nekkin,,faale1_1,"yëk nit, di toppatoo ay mbiram",se soucier de,verbe,Dëkkaale jar na faale.,Il faut se soucier de ses voisins.
faale1,faale,fa:lɛ,waxe-nekkin,,faale1_1,"yëk nit, di toppatoo ay mbiram",se soucier de,verbe,Dëkkaale jar na faale.,Il faut se soucier de ses voisins.
faar1,faar,fa:r,turu bopp,b-,faar1_1,yaxu wet yu nit wala yu mala,"côte, côtelette",nom,Faar yu ñu lakk la lekk.,Il a mangé des côtelettes braisées.
faar1,faar,fa:r,turu bopp,b-,faar1_1,lu ñuy rafetale kanam teñu koy def ci lex,fard,nom,Sa faar bi jàpp na la.,Ton fard te va bien.
faar1,faar,fa:r,turu bokkaale,b-,faar1_1,yaxu wet yu nit wala yu mala,"côte, côtelette",nom,Faar yu ñu lakk la lekk.,Il a mangé des côtelettes braisées.
faar1,faar,fa:r,turu bokkaale,b-,faar1_1,lu ñuy rafetale kanam teñu koy def ci lex,fard,nom,Sa faar bi jàpp na la.,Ton fard te va bien.
faare1,faare,fa:rɛ,waxe-nekkin,,faare1_1,lu maase wul,disharmonieux,adjectif qualificatif,Puudar bi mu def ci kanamam dafa faare.,Le talc qu'elle s'est mise sur le visage est disharmonieux.
faare1,faare,fa:rɛ,waxe-nekkin,,faare1_1,lu maase wul,disharmonieux,adjectif qualificatif,Puudar bi mu def ci kanamam dafa faare.,Le talc qu'elle s'est mise sur le visage est disharmonieux.
faas1,faas,fa:s,,,faas1_1,,,,,
faat1,faat,fa:t',waxe-jëfin,,faat1_1,ray bu ñaaw,tuer,verbe,Dafa sàcc xaalisam laata mu koy faat.,Il a volé son argent avant de le tuer.
faat1,faat,fa:t',waxe-jëfin,,faat1_1,jaxase meew ba lumb yi toc,battre le lait,verbe,Meew mu ñu faat rek lay naan.,Il ne boit que du lait battu.
faat1,faat,fa:t',waxe-jëfin,,faat1_1,ray bu ñaaw,tuer,verbe,Dafa sàcc xaalisam laata mu koy faat.,Il a volé son argent avant de le tuer.
faat1,faat,fa:t',waxe-jëfin,,faat1_1,jaxase meew ba lumb yi toc,battre le lait,verbe,Meew mu ñu faat rek lay naan.,Il ne boit que du lait battu.
faatu1,faatu,fa:tu,waxe-nekkin,,faatu1_1,ñakka dund,mourir,verbe,Demb la faatu.,Il est mort hier
faatu1,faatu,fa:tu,waxe-nekkin,,faatu1_1,ñakka dund,mourir,verbe,Demb la faatu.,Il est mort hier
faax1,faax,fa:x,waxe-nekkin,,faax1_1,toog nu mu la neexe,s'asseoir à son aise,verbe,Dafa ne faax ci lal bi.,Il est assis à son aise sur le lit.
faax1,faax,fa:x,waxe-nekkin,,faax1_1,toog nu mu la neexe,s'asseoir à son aise,verbe,Dafa ne faax ci lal bi.,Il est assis à son aise sur le lit.
fab1,fab,,,,fab1_1,,,,,
fab1,fab,fɐb',waxe-jëfin,,fab1_1,jël mbir ci sa loxo,prendre,verbe,Dafa fab xeer bi sànni ko.,Il a pris la pierre et l'a jeté.
fab1,fab,fɐb',waxe-jëfin,,fab1_1,jël ci say yoxo,porter dans ses bras,verbe,Dafa fab xale bi ba mu nelaw,Elle a porté l'enfant dans ses bras jusqu'à ce qu'il s'endort.
fab1,fab,fɐb',waxe-jëfin,,fab1_1,jël mbir ci sa loxo,prendre,verbe,Dafa fab xeer bi sànni ko.,Il a pris la pierre et l'a jeté.
fab1,fab,fɐb',waxe-jëfin,,fab1_1,jël ci say yoxo,porter dans ses bras,verbe,Dafa fab xale bi ba mu nelaw,Elle a porté l'enfant dans ses bras jusqu'à ce qu'il s'endort.
fabu1,fabu,fɐbu,waxe-jëfin,,fabu1_1,dem ci saasi,s'en aller,verbe,Dafa fabu ci saasi bi ko magam woowe.,Il s'est en allé immédiatement quand son frère l'a appelé.
fabu1,fabu,fɐbu,waxe-jëfin,,fabu1_1,dem ci saasi,s'en aller,verbe,Dafa fabu ci saasi bi ko magam woowe.,Il s'est en allé immédiatement quand son frère l'a appelé.
fal1,fal,,,,fal1_1,,,,,
fàll1,fàll,falᵊ,,,fàll1_1,,,,,
fàll1,fàll,falᵊ,,,fàll1_1,,,,,
fan1,fan,fɐn',,,fan1_1,,,,,
fan1,fan,fɐn',,,fan1_1,,,,,
fanaan1,fanaan,fɐna:n',,,fanaan1_1,,,,,
fanaan1,fanaan,fɐna:n',,,fanaan1_1,,,,,
fàq1,fàq,faq',,,fàq1_1,,,,,
fàq1,fàq,faq,,,fàq1_1,,,,,
faraasu1,faraasu,fɐra:su,,,faraasu1_1,,,,,
farlu1,farlu,fɐrlu,,,farlu1_1,,,,,
faru1,faru,fɐru,,,faru1_1,,,,,
fasale1,fasale,fɐsɐlɛ,,,fasale1_1,,,,,
fase1,fase,fɐsɛ,,,fase1_1,,,,,
faw1,faw,fɐw,,,faw1_1,,,,,
fecc1,fecc,fɛc:ʰ,waxe-jëfin,,fecc1_1,def pecc,danser,verbe,Ci suba ba léegi mu ngi fecc.,Il danse depuis ce matin.
fecc1,fecc,fɛc:ʰ,waxe-jëfin,,fecc1_1,def pecc,danser,verbe,Ci suba ba léegi mu ngi fecc.,Il danse depuis ce matin.
feccali1,feccali,fɛc:ɐli,waxe-jëfin,,feccali1_1,eggali root wala duy ba mu fees,achever de remplir,verbe,Dafa feccali siwo bi ak ndox.,Elle a achevé de remplir le seau d'eau.
feccali1,feccali,fɛc:ɐli,waxe-jëfin,,feccali1_1,eggali root wala duy ba mu fees,achever de remplir,verbe,Dafa feccali siwo bi ak ndox.,Elle a achevé de remplir le seau d'eau.
fecceeku1,fecceeku,fɛc:ɛ:ku,waxe-nekkin,,fecceeku1_1,lu tekkeeku,se dénouer,verbe,Xaalis bi mu fasoon ci sëram dafa fecceeku.,L'argent qu'il avait noué avec son pagne s'est dénoué.
fecceeku1,fecceeku,fɛc:ɛ:ku,waxe-nekkin,,fecceeku1_1,lu tekkeeku,se dénouer,verbe,Xaalis bi mu fasoon ci sëram dafa fecceeku.,L'argent qu'il avait noué avec son pagne s'est dénoué.
fecci1,fecci,fɛc:i,waxe-jëfin,,fecci1_1,tekki lu fasu,dénouer,verbe,Dafa fecci buumu xar mi.,Il a dénoué la corde du mouton.
fecci1,fecci,fɛc:i,waxe-jëfin,,fecci1_1,tekki lu fasu,dénouer,verbe,Dafa fecci buumu xar mi.,Il a dénoué la corde du mouton.
fecciku1,fecciku,fɛc:iku,waxe-nekkin,,fecciku1_1,lu tekkeeku,se dénouer,verbe,Xaalis bi mu fasoon ci sëram dafa fecceeku.,L'argent qu'il avait noué avec son pagne s'est dénoué.
fecciku1,fecciku,fɛc:iku,waxe-nekkin,,fecciku1_1,lu tekkeeku,se dénouer,verbe,Xaalis bi mu fasoon ci sëram dafa fecceeku.,L'argent qu'il avait noué avec son pagne s'est dénoué.
feebar1,feebar,fɛ:bɐr,waxe-nekkin,,feebar1_1,tawat wala jagadi,être malade,verbe,Dafa feebar.,Il est malade.
feebar1,feebar,fɛ:bɐr,turu bokkaale,b-,feebar1_1,jëmmi feebar,maladie,nom,Ban feebar la ame.,Il a quelle maladie?
feebar1,feebar,fɛ:bɐr,waxe-nekkin,,feebar1_1,tawat wala jagadi,être malade,verbe,Dafa feebar.,Il est malade.
feebar1,feebar,fɛ:bɐr,turu bokkaale,b-,feebar1_1,jëmmi feebar,maladie,nom,Ban feebar la ame.,Il a quelle maladie?
feela1,feela,fɛ:lɐ,turu bokkaale,b-,feela1_1,xeetu dugub,variété de sorgho,nom,Tay feela la def cere.,Aujourd'hui c'est avec une variété de sorgho qu'elle a fait du couscous.
feela1,feela,fɛ:lɐ,turu bokkaale,b-,feela1_1,xeetu dugub,variété de sorgho,nom,Tay feela la def cere.,Aujourd'hui c'est avec une variété de sorgho qu'elle a fait du couscous.
feeñ1,feeñ,fɛ:ɲ',waxe-nekkin,,feeñ1_1,génn fenn,apparaître,verbe,"Weer wi feeñ na, danuy woor suba.","La lune est apparue, on jeûne demain."
feeñ1,feeñ,fɛ:ɲ',waxe-nekkin,,feeñ1_1,génn fenn,apparaître,verbe,"Weer wi feeñ na, danuy woor suba.","La lune est apparue, on jeûne demain."
fees1,fees,fɛ:s,,,fees1_1,,,,,
fees1,fees,fɛ:s,,,fees1_1,,,,,
feg1,feg,fɛg',,,feg1_1,,,,,
fen1,fen,fɛn',,,fen1_1,,,,,
fen1,fen,fɛn',,,fen1_1,,,,,
fent1,fent,fɛntʰ,,,fent1_1,,,,,
fent1,fent,fɛntʰ,,,fent1_1,,,,,
féq1,féq,feq',,,féq1_1,,,,,
féq1,féq,feq',,,féq1_1,,,,,
feri1,feri,fɛri,,,feri1_1,,bac,nom,,
feteñ1,feteñ,fɛtɛɲ',,,feteñ1_1,,,,,
feteñ1,feteñ,fɛtɛɲ',,,feteñ1_1,,,,,
firi1,firi,firi,,,firi1_1,,,,,
firi1,firi,firi,,,firi1_1,,,,,
focci1,focci,fɔc:i,,,focci1_1,,,,,
focci1,focci,fɔc:i,,,focci1_1,,,,,
fonn1,fonn,fɔnᵊ,,,fonn1_1,,,,,
fonn1,fonn,fɔnᵊ,,,fonn1_1,,,,,
fudd1,fudd,fudᵊ,,,fudd1_1,,,,,
ga1,ga,gɐ,waxe-jëfin,,ga1_1,gétën nit ngir mu def lu mu bëgul,obliger à,verbe,"Bëggulwoon sangu, yaayam moo ko ci ga.","Il ne voulait pas se doucher, sa mère le lui a obligé."
ga1,ga,gɐ,waxe-jëfin,,ga1_1,gétën nit ngir mu def lu mu bëgul,obliger à,verbe,"Bëggulwoon sangu, yaayam moo ko ci ga.","Il ne voulait pas se doucher, sa mère le lui a obligé."
gaa1,gaa,ga:,turu bokkaale,ñ-,gaa1_1,nit,gars,nom,Gars ñi dem na ñu ligéeyi.,Les gars sont partis travailler.
gaa1,gaa,ga:,turu bokkaale,ñ-,gaa1_1,nit,gars,nom,Gars ñi dem na ñu ligéeyi.,Les gars sont partis travailler.
gaaf1,gaaf,ga:f,turu bokkaale,g-,gaaf1_1,ñakk wërsëk buy topp nit,guigne,nom,"Ngóor sii dafa ay gaaf, ku mu woy nga faatu.","Cet homme a la guigne, tout ce qu'il chante meurt."
gaaf1,gaaf,ga:f,turu bokkaale,g-,gaaf1_1,ñakk wërsëk buy topp nit,guigne,nom,"Ngóor sii dafa ay gaaf, ku mu woy nga faatu.","Cet homme a la guigne, tout ce qu'il chante meurt."
gaajo1,gaajo,ga:ɟɔ,turu bokkaale,g-,gaajo1_1,turu pecc,partie de danse,nom,"Ba mu feccee gaajo gi ba mu jeex, ñëppa ko doon tàccu.","Quand elle avait fini toute la partie de danse, tout le monde l'applaudissait."
gaajo1,gaajo,ga:ɟɔ,turu bokkaale,g-,gaajo1_1,turu pecc,partie de danse,nom,"Ba mu feccee gaajo gi ba mu jeex, ñëppa ko doon tàccu.","Quand elle avait fini toute la partie de danse, tout le monde l'applaudissait."
gaañ1,gaañ,ga:ɲ',waxe-jëfin,,gaañ1_1,meettital ci wenn wàllu yaram,blesser,verbe,Dafa ko gaañ ci loxo.,Il l'a blessé à la main.
gaañ1,gaañ,ga:ɲ',waxe-jëfin,,gaañ1_1,meettital ci wenn wàllu yaram,blesser,verbe,Dafa ko gaañ ci loxo.,Il l'a blessé à la main.
gaana1,gaana,ga:nɐ,waxe-nekkin,,gaana1_1,ku ame febaru gaana,être lépreux,verbe,Dafa gaana.,Il est lépreux.
gaana1,gaana,ga:nɐ,turu bokkaale,g-,gaana1_1,ame febaru gaana,lépreux,adjectif qualificatif,Gana gi dafa sonn.,Le lépreux est fatigué.
gaana1,gaana,ga:nɐ,waxe-nekkin,,gaana1_1,ku ame febaru gaana,être lépreux,verbe,Dafa gaana.,Il est lépreux.
gaana1,gaana,ga:nɐ,turu bokkaale,g-,gaana1_1,ame febaru gaana,lépreux,adjectif qualificatif,Gana gi dafa sonn.,Le lépreux est fatigué.
gaañ-gaañ1,gaañ-gaañ,ga:ɲga:ɲ,turu bokkaale,b-,gaañ-gaañ1_1,jëmmi meettit,blessure,nom,Gaañ-gaañ bu doy waar la am ci bopp.,Il a une blessure grave à la tête.
